/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', 'right', None, None)
('right', 'red', 'right', 'forward', 'left')
 -- forward : -19.94
 -- right : 1.29
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'left', None, 'left')
 -- forward : -8.54
 -- right : 1.86
 -- None : 1.68
 -- left : -7.22

('left', 'red', 'left', 'right', 'right')
 -- forward : -4.82
 -- right : 0.84
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'forward', 'forward', 'left')
 -- forward : -20.40
 -- right : 0.00
 -- None : 1.99
 -- left : -19.91

('right', 'green', 'forward', 'forward', 'left')
 -- forward : 0.52
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'forward', None, 'right')
 -- forward : -19.98
 -- right : -10.21
 -- None : 2.07
 -- left : -20.44

('right', 'green', None, 'right', 'forward')
 -- forward : 0.73
 -- right : 0.00
 -- None : 0.00
 -- left : -9.65

('left', 'red', 'left', 'left', None)
 -- forward : -9.52
 -- right : 0.31
 -- None : 1.33
 -- left : 0.00

('forward', 'green', None, None, None)
 -- forward : 1.64
 -- right : 0.10
 -- None : -5.17
 -- left : 0.64

('left', 'green', None, 'left', None)
 -- forward : 0.67
 -- right : 1.11
 -- None : -4.79
 -- left : 2.27

('left', 'green', 'forward', 'left', None)
 -- forward : 1.26
 -- right : 0.56
 -- None : -4.79
 -- left : 1.87

('forward', 'green', 'forward', 'left', 'right')
 -- forward : 2.16
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'green', None, None, None)
 -- forward : 0.48
 -- right : 0.32
 -- None : -4.92
 -- left : 1.95

('right', 'green', 'left', None, 'forward')
 -- forward : 0.74
 -- right : 1.45
 -- None : -4.17
 -- left : 0.00

('left', 'green', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -10.47

('right', 'red', None, 'forward', None)
 -- forward : -19.90
 -- right : 0.76
 -- None : 1.66
 -- left : -39.18

('left', 'red', 'left', None, None)
 -- forward : -9.44
 -- right : 0.93
 -- None : 1.31
 -- left : -9.45

('forward', 'red', 'left', 'right', 'left')
 -- forward : -5.02
 -- right : 0.00
 -- None : 2.49
 -- left : -5.33

('forward', 'red', None, 'right', None)
 -- forward : -7.93
 -- right : 0.62
 -- None : 1.92
 -- left : -9.95

('forward', 'red', 'right', 'right', None)
 -- forward : 0.00
 -- right : 0.30
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'right', 'left', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.86
 -- left : -7.23

('forward', 'red', 'forward', 'left', 'left')
 -- forward : 0.00
 -- right : -18.93
 -- None : 2.02
 -- left : -20.46

('left', 'green', None, 'right', 'forward')
 -- forward : 0.99
 -- right : 0.68
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'left', 'right', 'left')
 -- forward : 0.79
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'forward', None, None)
 -- forward : 2.42
 -- right : 0.36
 -- None : -4.72
 -- left : 0.65

('left', 'red', 'right', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.58
 -- left : -19.73

('left', 'green', 'right', 'left', 'forward')
 -- forward : 0.60
 -- right : 0.16
 -- None : -2.58
 -- left : 0.00

('left', 'green', 'right', None, 'forward')
 -- forward : 0.29
 -- right : 0.00
 -- None : -4.44
 -- left : -14.77

('right', 'green', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- right : 1.82
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'right', None, None)
 -- forward : -8.76
 -- right : 0.57
 -- None : 1.76
 -- left : -9.47

('right', 'red', 'left', None, 'forward')
 -- forward : -4.96
 -- right : 1.05
 -- None : 2.17
 -- left : -4.63

('right', 'green', 'left', 'right', 'forward')
 -- forward : 0.04
 -- right : 0.00
 -- None : 0.00
 -- left : -9.59

('left', 'red', 'right', 'right', 'left')
 -- forward : -4.60
 -- right : 0.00
 -- None : 1.17
 -- left : 0.00

('right', 'green', 'left', 'left', 'forward')
 -- forward : 0.13
 -- right : 2.09
 -- None : -3.48
 -- left : -9.67

('forward', 'red', None, None, 'forward')
 -- forward : -10.28
 -- right : 0.49
 -- None : 2.36
 -- left : -10.28

('forward', 'green', None, 'right', 'right')
 -- forward : 1.99
 -- right : 0.00
 -- None : 0.00
 -- left : -9.52

('forward', 'red', None, 'left', 'forward')
 -- forward : -9.80
 -- right : 0.02
 -- None : 2.05
 -- left : -9.07

('forward', 'green', 'left', None, 'right')
 -- forward : 2.18
 -- right : 0.48
 -- None : 0.00
 -- left : 0.00

('forward', 'green', None, 'right', None)
 -- forward : 1.88
 -- right : 0.37
 -- None : -2.85
 -- left : 0.55

('left', 'green', 'right', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : -2.60
 -- left : -10.15

('left', 'red', 'right', 'left', 'left')
 -- forward : -7.38
 -- right : 0.00
 -- None : 2.19
 -- left : -5.28

('right', 'red', 'right', 'right', 'left')
 -- forward : 0.00
 -- right : 1.23
 -- None : 0.00
 -- left : 0.00

('forward', 'red', None, 'forward', 'forward')
 -- forward : -30.56
 -- right : 0.42
 -- None : 1.66
 -- left : 0.00

('right', 'green', None, 'forward', 'forward')
 -- forward : -0.02
 -- right : 0.00
 -- None : -4.04
 -- left : -10.28

('forward', 'green', 'forward', 'left', None)
 -- forward : 1.58
 -- right : 0.95
 -- None : -5.19
 -- left : 0.90

('left', 'green', 'forward', None, 'right')
 -- forward : 0.67
 -- right : 0.73
 -- None : -3.96
 -- left : 0.00

('right', 'red', 'forward', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.93
 -- left : -19.54

('forward', 'red', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 2.29
 -- left : -19.96

('forward', 'red', 'right', 'right', 'left')
 -- forward : 0.00
 -- right : 0.62
 -- None : 0.00
 -- left : -7.27

('forward', 'green', 'left', 'right', None)
 -- forward : 1.41
 -- right : 0.00
 -- None : 0.00
 -- left : 0.53

('right', 'green', 'left', 'left', 'left')
 -- forward : 0.00
 -- right : 1.64
 -- None : 0.57
 -- left : -0.04

('right', 'green', 'forward', 'right', None)
 -- forward : 0.44
 -- right : 0.00
 -- None : -3.31
 -- left : 0.63

('right', 'red', 'left', 'right', None)
 -- forward : -5.46
 -- right : 2.17
 -- None : 0.00
 -- left : -5.10

('right', 'red', 'forward', None, 'left')
 -- forward : -37.78
 -- right : 0.00
 -- None : 1.73
 -- left : -29.93

('forward', 'red', 'right', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.52
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'forward', None)
 -- forward : -35.30
 -- right : -15.33
 -- None : 1.91
 -- left : -29.81

('left', 'green', 'forward', 'right', 'right')
 -- forward : 0.00
 -- right : 0.05
 -- None : 0.00
 -- left : -9.57

('left', 'red', 'forward', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.05
 -- left : 0.00

('left', 'red', 'forward', 'left', 'forward')
 -- forward : -29.72
 -- right : -10.17
 -- None : 2.12
 -- left : -30.20

('left', 'green', 'forward', 'right', 'forward')
 -- forward : 0.37
 -- right : 0.00
 -- None : -2.22
 -- left : 0.00

('right', 'red', 'forward', None, None)
 -- forward : -39.00
 -- right : -19.43
 -- None : 1.33
 -- left : -39.98

('forward', 'red', 'forward', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.44
 -- left : 0.00

('forward', 'green', None, None, 'forward')
 -- forward : 2.20
 -- right : 0.75
 -- None : -4.88
 -- left : -19.91

('forward', 'red', 'forward', 'forward', None)
 -- forward : -19.57
 -- right : -17.14
 -- None : 1.57
 -- left : -37.51

('forward', 'red', 'right', None, 'left')
 -- forward : -4.77
 -- right : 0.78
 -- None : 1.97
 -- left : -5.30

('right', 'red', 'forward', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -19.92

('left', 'green', 'forward', None, 'left')
 -- forward : 0.72
 -- right : 0.81
 -- None : 0.58
 -- left : 2.20

('right', 'red', None, 'right', 'left')
 -- forward : -4.52
 -- right : 2.27
 -- None : 0.75
 -- left : -7.68

('forward', 'green', 'right', 'left', 'right')
 -- forward : 1.14
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'forward', 'left', 'right')
 -- forward : 0.00
 -- right : -9.79
 -- None : 1.61
 -- left : 0.00

('left', 'green', 'left', 'forward', None)
 -- forward : 0.42
 -- right : 0.37
 -- None : -2.67
 -- left : 1.47

('left', 'red', 'forward', 'right', 'left')
 -- forward : -35.19
 -- right : 0.00
 -- None : 1.83
 -- left : 0.00

('left', 'red', None, 'forward', None)
 -- forward : -37.34
 -- right : 1.20
 -- None : 2.12
 -- left : -39.77

('left', 'red', 'left', None, 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.82
 -- left : -20.20

('left', 'red', None, 'forward', 'right')
 -- forward : -20.39
 -- right : -0.03
 -- None : 2.10
 -- left : -29.72

('left', 'red', 'left', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.58
 -- None : 1.15
 -- left : 0.00

('right', 'red', None, 'right', 'right')
 -- forward : -5.04
 -- right : 0.00
 -- None : 1.54
 -- left : 0.00

('right', 'red', 'forward', 'left', 'right')
 -- forward : -19.87
 -- right : 0.00
 -- None : 0.65
 -- left : -19.83

('right', 'green', None, None, 'right')
 -- forward : 0.69
 -- right : 1.83
 -- None : -4.41
 -- left : -18.49

('forward', 'red', 'forward', 'forward', 'forward')
 -- forward : -20.32
 -- right : 0.00
 -- None : 1.97
 -- left : -20.10

('forward', 'green', 'left', None, 'left')
 -- forward : 2.07
 -- right : 0.30
 -- None : 0.37
 -- left : -0.16

('forward', 'green', None, 'right', 'left')
 -- forward : 0.00
 -- right : -0.21
 -- None : 0.33
 -- left : 0.82

('right', 'green', 'forward', 'left', 'left')
 -- forward : 1.38
 -- right : 0.00
 -- None : 0.00
 -- left : 0.19

('left', 'red', 'forward', None, 'left')
 -- forward : -38.71
 -- right : -18.72
 -- None : 1.65
 -- left : -37.33

('forward', 'red', None, None, 'left')
 -- forward : -10.14
 -- right : 0.07
 -- None : 2.25
 -- left : -10.26

('forward', 'red', 'right', 'forward', None)
 -- forward : 0.00
 -- right : 0.27
 -- None : 2.20
 -- left : 0.00

('right', 'green', 'left', 'left', 'right')
 -- forward : 0.85
 -- right : 0.49
 -- None : 0.00
 -- left : -10.17

('forward', 'red', 'right', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.86
 -- left : -19.72

('right', 'red', 'right', None, None)
 -- forward : -9.41
 -- right : 1.83
 -- None : 1.00
 -- left : -9.86

('right', 'green', None, 'left', None)
 -- forward : 1.03
 -- right : 1.94
 -- None : -5.62
 -- left : 0.97

('forward', 'red', 'right', 'left', None)
 -- forward : -7.36
 -- right : 0.00
 -- None : 1.57
 -- left : -4.93

('right', 'red', 'left', None, 'right')
 -- forward : -7.43
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'red', None, 'left', 'left')
 -- forward : -10.45
 -- right : 1.17
 -- None : 2.20
 -- left : -7.74

('left', 'green', 'left', None, 'forward')
 -- forward : 0.66
 -- right : 0.00
 -- None : -2.22
 -- left : -18.06

('left', 'red', 'right', 'left', 'right')
 -- forward : 0.00
 -- right : 1.35
 -- None : 0.00
 -- left : -20.34

('forward', 'green', 'right', None, None)
 -- forward : 1.89
 -- right : 0.45
 -- None : -4.78
 -- left : 1.13

('left', 'red', None, None, 'forward')
 -- forward : -10.01
 -- right : 0.98
 -- None : 1.86
 -- left : -10.06

('left', 'green', 'forward', 'forward', 'left')
 -- forward : 0.42
 -- right : 0.22
 -- None : 0.41
 -- left : 1.26

('right', 'red', None, 'left', 'left')
 -- forward : -7.40
 -- right : 0.00
 -- None : 1.84
 -- left : -9.27

('left', 'green', 'left', None, 'left')
 -- forward : 0.30
 -- right : 0.92
 -- None : 1.01
 -- left : 2.12

('right', 'green', 'right', 'forward', None)
 -- forward : 0.33
 -- right : 0.00
 -- None : -4.06
 -- left : 1.30

('right', 'red', None, 'forward', 'left')
 -- forward : -20.31
 -- right : 1.27
 -- None : 0.00
 -- left : -35.64

('right', 'green', 'right', None, 'forward')
 -- forward : 0.57
 -- right : 1.74
 -- None : 0.00
 -- left : 0.00

('forward', 'red', None, 'forward', None)
 -- forward : -40.07
 -- right : 0.92
 -- None : 1.89
 -- left : -40.00

('left', 'red', None, None, None)
 -- forward : -9.52
 -- right : 0.75
 -- None : 1.48
 -- left : -10.14

('left', 'green', 'right', 'forward', 'right')
 -- forward : 0.86
 -- right : 0.00
 -- None : 0.00
 -- left : -10.49

('left', 'green', 'left', None, None)
 -- forward : 0.07
 -- right : 0.71
 -- None : -5.06
 -- left : 1.60

('left', 'red', None, None, 'right')
 -- forward : -9.73
 -- right : 0.08
 -- None : 2.01
 -- left : -39.57

('left', 'green', 'right', 'right', None)
 -- forward : 0.00
 -- right : 0.54
 -- None : -2.65
 -- left : 1.89

('forward', 'red', 'left', None, 'right')
 -- forward : -4.98
 -- right : 0.00
 -- None : 1.21
 -- left : -30.03

('forward', 'green', None, 'right', 'forward')
 -- forward : 1.42
 -- right : 0.00
 -- None : -2.50
 -- left : -15.29

('forward', 'red', 'left', 'left', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.34
 -- left : 0.00

('right', 'green', 'left', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.17
 -- left : 0.78

('forward', 'red', 'right', None, None)
 -- forward : -9.76
 -- right : 0.58
 -- None : 1.72
 -- left : -10.05

('forward', 'red', 'left', 'left', None)
 -- forward : -8.61
 -- right : 0.65
 -- None : 2.03
 -- left : -7.23

('right', 'green', 'right', 'right', None)
 -- forward : 0.09
 -- right : 0.00
 -- None : -2.30
 -- left : 0.00

('right', 'red', 'right', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -19.65

('left', 'red', 'left', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.74
 -- left : -19.74

('right', 'green', 'right', 'left', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : -4.22
 -- left : 1.53

('left', 'red', None, 'left', 'left')
 -- forward : -9.27
 -- right : 0.28
 -- None : 2.44
 -- left : 0.00

('left', 'red', 'right', None, 'forward')
 -- forward : -9.13
 -- right : 0.36
 -- None : 1.54
 -- left : -5.12

('right', 'red', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.63
 -- left : -19.67

('right', 'red', 'left', 'right', 'left')
 -- forward : -5.27
 -- right : 0.00
 -- None : 2.26
 -- left : -5.30

('right', 'green', 'left', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : -2.80
 -- left : -10.26

('left', 'green', 'left', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', None, 'right', None)
 -- forward : -9.50
 -- right : 0.48
 -- None : 1.90
 -- left : -9.73

('left', 'red', 'forward', 'right', 'forward')
 -- forward : 0.00
 -- right : -14.70
 -- None : 1.48
 -- left : 0.00

('left', 'green', 'left', 'right', None)
 -- forward : 0.00
 -- right : 0.70
 -- None : 0.00
 -- left : 1.76

('right', 'green', 'right', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 1.04

('right', 'green', 'left', None, 'left')
 -- forward : 0.36
 -- right : 1.55
 -- None : 0.63
 -- left : 0.82

('forward', 'red', 'forward', None, 'right')
 -- forward : -20.17
 -- right : -9.61
 -- None : 1.44
 -- left : 0.00

('right', 'green', None, None, 'forward')
 -- forward : 1.03
 -- right : 1.68
 -- None : -4.88
 -- left : -20.34

('forward', 'red', 'right', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.27
 -- None : 0.00
 -- left : 0.00

('left', 'red', None, 'forward', 'forward')
 -- forward : -20.35
 -- right : 0.22
 -- None : 2.02
 -- left : -30.07

('forward', 'green', 'forward', 'left', 'left')
 -- forward : 0.00
 -- right : 0.98
 -- None : 0.26
 -- left : 0.43

('left', 'green', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.09
 -- None : -2.87
 -- left : -10.50

('right', 'green', 'right', None, 'left')
 -- forward : 0.00
 -- right : 0.74
 -- None : 0.00
 -- left : 0.40

('left', 'red', 'right', 'right', None)
 -- forward : -4.80
 -- right : 0.68
 -- None : 1.48
 -- left : 0.00

('forward', 'green', 'right', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : -2.77
 -- left : 0.00

('left', 'green', None, 'forward', None)
 -- forward : 0.88
 -- right : 0.92
 -- None : -4.44
 -- left : 1.59

('right', 'green', 'forward', 'forward', 'right')
 -- forward : 1.18
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'forward', None, 'forward')
 -- forward : -20.28
 -- right : -15.09
 -- None : 2.13
 -- left : -34.65

('left', 'green', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- right : 1.48
 -- None : 0.00
 -- left : -14.94

('left', 'green', 'forward', 'left', 'right')
 -- forward : 0.22
 -- right : 0.00
 -- None : 0.00
 -- left : -10.35

('left', 'red', 'forward', 'forward', 'forward')
 -- forward : -19.87
 -- right : -10.23
 -- None : 1.38
 -- left : -34.67

('left', 'red', 'right', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -19.98

('right', 'red', 'left', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.27
 -- left : -20.46

('left', 'green', 'right', 'right', 'left')
 -- forward : 0.96
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'right', 'left', 'forward')
 -- forward : -7.74
 -- right : 0.54
 -- None : 0.00
 -- left : -7.11

('forward', 'red', 'right', 'left', 'right')
 -- forward : -5.28
 -- right : 0.00
 -- None : 1.43
 -- left : -20.45

('right', 'red', None, None, 'left')
 -- forward : -9.76
 -- right : 2.28
 -- None : 1.18
 -- left : -9.82

('left', 'green', 'left', 'forward', 'left')
 -- forward : 0.37
 -- right : -0.01
 -- None : 0.85
 -- left : 1.65

('left', 'green', 'forward', 'forward', None)
 -- forward : 0.73
 -- right : 0.49
 -- None : -4.35
 -- left : 2.39

('left', 'green', 'right', None, 'left')
 -- forward : 0.48
 -- right : 0.66
 -- None : 0.28
 -- left : 1.78

('right', 'green', 'forward', None, 'left')
 -- forward : 0.03
 -- right : 1.59
 -- None : 0.71
 -- left : 0.58

('forward', 'red', 'forward', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.61
 -- left : 0.00

('forward', 'red', None, 'right', 'left')
 -- forward : -8.83
 -- right : 0.32
 -- None : 1.91
 -- left : -8.56

('right', 'red', 'left', 'left', 'forward')
 -- forward : -5.48
 -- right : 1.87
 -- None : 0.00
 -- left : -4.80

('forward', 'red', 'left', 'forward', 'left')
 -- forward : -19.57
 -- right : 0.00
 -- None : 1.89
 -- left : 0.00

('right', 'red', 'right', None, 'left')
 -- forward : 0.00
 -- right : 1.45
 -- None : 1.74
 -- left : 0.00

('forward', 'green', 'left', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : -2.72
 -- left : -9.57

('left', 'red', 'forward', 'left', 'right')
 -- forward : 0.00
 -- right : -9.96
 -- None : 1.65
 -- left : 0.00

('forward', 'green', 'right', None, 'forward')
 -- forward : 0.00
 -- right : 1.05
 -- None : 0.00
 -- left : -18.89

('right', 'green', 'forward', 'left', 'forward')
 -- forward : 0.80
 -- right : 0.00
 -- None : 0.00
 -- left : -9.53

('forward', 'red', 'left', None, None)
 -- forward : -10.18
 -- right : 0.19
 -- None : 1.48
 -- left : -10.34

('forward', 'green', None, None, 'left')
 -- forward : 1.43
 -- right : 1.11
 -- None : 0.96
 -- left : 0.57

('right', 'red', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.86
 -- left : -19.68

('forward', 'green', 'left', None, 'forward')
 -- forward : 1.90
 -- right : 0.00
 -- None : -3.25
 -- left : -9.57

('forward', 'green', None, 'left', None)
 -- forward : 1.00
 -- right : 0.57
 -- None : -4.42
 -- left : 0.95

('right', 'green', 'forward', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.37
 -- left : 0.00

('right', 'red', 'left', 'left', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.14
 -- left : 0.00

('right', 'green', 'right', 'left', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -10.26

('right', 'green', 'forward', 'forward', 'forward')
 -- forward : 0.00
 -- right : 1.10
 -- None : 0.00
 -- left : 0.00

('right', 'green', 'left', 'forward', None)
 -- forward : 0.62
 -- right : 1.83
 -- None : -4.94
 -- left : 1.03

('forward', 'green', 'right', 'forward', 'left')
 -- forward : 0.48
 -- right : 0.00
 -- None : 0.00
 -- left : 1.27

('right', 'red', 'forward', 'right', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : 2.06
 -- left : 0.00

('forward', 'green', 'forward', None, 'forward')
 -- forward : 0.00
 -- right : 0.47
 -- None : -3.30
 -- left : -15.15

('forward', 'green', 'right', 'forward', 'forward')
 -- forward : 1.69
 -- right : 0.00
 -- None : -2.40
 -- left : 0.00

('forward', 'green', 'forward', 'forward', 'right')
 -- forward : 2.25
 -- right : 0.00
 -- None : 0.00
 -- left : -15.05

('forward', 'red', None, 'right', 'forward')
 -- forward : -8.46
 -- right : 0.60
 -- None : 0.00
 -- left : -7.49

('left', 'red', 'forward', None, 'forward')
 -- forward : -20.17
 -- right : -17.20
 -- None : 1.49
 -- left : -37.19

('right', 'red', None, 'right', None)
 -- forward : -9.93
 -- right : 1.60
 -- None : 0.81
 -- left : -9.82

('right', 'red', None, 'forward', 'forward')
 -- forward : -20.23
 -- right : 1.86
 -- None : 1.71
 -- left : -34.97

('right', 'red', 'left', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 2.36
 -- left : 0.00

('right', 'green', 'left', None, None)
 -- forward : 0.22
 -- right : 1.73
 -- None : -5.12
 -- left : 0.43

('right', 'green', 'forward', None, 'forward')
 -- forward : 0.54
 -- right : 1.88
 -- None : -2.96
 -- left : -14.81

('right', 'green', None, None, None)
 -- forward : 0.64
 -- right : 1.94
 -- None : -4.65
 -- left : 0.58

('left', 'green', 'left', 'left', 'right')
 -- forward : 0.71
 -- right : 0.00
 -- None : -2.69
 -- left : -9.67

('forward', 'green', None, 'forward', 'right')
 -- forward : 2.19
 -- right : 0.09
 -- None : -2.73
 -- left : 0.00

('left', 'green', None, 'forward', 'right')
 -- forward : 1.06
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'right', None, 'right')
 -- forward : -4.52
 -- right : -0.04
 -- None : 0.83
 -- left : -20.02

('right', 'green', None, 'right', None)
 -- forward : 0.00
 -- right : 1.51
 -- None : -4.85
 -- left : 0.24

('left', 'green', None, 'left', 'left')
 -- forward : 1.12
 -- right : 0.73
 -- None : 0.34
 -- left : 1.69

('forward', 'red', 'left', 'forward', 'forward')
 -- forward : -19.95
 -- right : 0.57
 -- None : 0.00
 -- left : -20.27

('right', 'green', None, 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : -2.17
 -- left : 0.00

('forward', 'red', 'left', 'forward', None)
 -- forward : -38.37
 -- right : 0.50
 -- None : 1.75
 -- left : -35.41

('right', 'red', 'right', 'right', 'right')
 -- forward : 0.00
 -- right : 0.74
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'right', 'left', 'left')
 -- forward : 0.00
 -- right : 2.25
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'forward', 'forward', 'left')
 -- forward : -20.50
 -- right : 0.00
 -- None : 2.15
 -- left : -19.63

('right', 'green', None, 'left', 'right')
 -- forward : 0.51
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'left', 'left', None)
 -- forward : 1.87
 -- right : 0.79
 -- None : -4.75
 -- left : 0.00

('left', 'green', None, 'forward', 'forward')
 -- forward : 0.02
 -- right : 0.49
 -- None : -2.29
 -- left : 0.00

('forward', 'red', 'forward', 'left', None)
 -- forward : -38.92
 -- right : -17.69
 -- None : 1.80
 -- left : -37.61

('right', 'green', None, 'forward', 'left')
 -- forward : 0.37
 -- right : 1.91
 -- None : 0.36
 -- left : 0.56

('forward', 'red', None, 'forward', 'left')
 -- forward : -37.13
 -- right : 0.70
 -- None : 2.03
 -- left : -19.52

('left', 'green', 'right', 'left', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.09
 -- left : 0.90

('left', 'red', 'left', None, 'left')
 -- forward : -8.80
 -- right : 0.60
 -- None : 1.27
 -- left : -9.62

('left', 'green', 'left', 'right', 'forward')
 -- forward : 0.77
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'right', None)
 -- forward : 0.00
 -- right : -9.69
 -- None : 1.36
 -- left : 0.00

('forward', 'green', 'forward', 'left', 'forward')
 -- forward : 1.91
 -- right : 0.00
 -- None : 0.00
